Institution ID,Institution,Sector,Country/Region,Co-author,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact
315068,University of Cambridge,academic,United Kingdom,All co-authors,33,2238,67.8,5.1
703889,Wellcome Trust,academic,United Kingdom,All co-authors,32,2234,69.8,5.22
703888,Wellcome Sanger Institute,academic,United Kingdom,All co-authors,32,2234,69.8,5.22
201029,University of Queensland,academic,Australia,All co-authors,22,699,31.8,1.72
315038,Medical Research Council,government,United Kingdom,All co-authors,12,477,39.8,3.1
701909,Cambridge University Hospitals NHS Foundation Trust,medical,United Kingdom,All co-authors,11,892,81.1,5.16
201071,Queensland Health,government,Australia,All co-authors,11,409,37.2,1.69
201067,Princess Alexandra Hospital Brisbane,medical,Australia,All co-authors,11,409,37.2,1.69
315005,Cancer Research UK,other,United Kingdom,All co-authors,7,866,123.7,6.83
508156,National Institutes of Health,government,United States,All co-authors,6,421,70.2,3.96
315091,University of Oxford,academic,United Kingdom,All co-authors,6,383,63.8,3.14
315089,Newcastle University,academic,United Kingdom,All co-authors,6,727,121.2,8.17
315061,University College London,academic,United Kingdom,All co-authors,6,636,106,5.74
309006,European Molecular Biology Laboratory,government,Germany,All co-authors,5,718,143.6,8.27
701880,Newcastle upon Tyne Hospitals NHS Foundation Trust,medical,United Kingdom,All co-authors,4,631,157.8,10.37
315064,University of Birmingham,academic,United Kingdom,All co-authors,4,130,32.5,5.78
201017,Queensland Institute of Medical Research,academic,Australia,All co-authors,4,283,70.8,2.85
722404,National Institute for Health and Care Research,other,United Kingdom,All co-authors,3,221,73.7,5.31
315119,AstraZeneca,corporate,United Kingdom,All co-authors,3,121,40.3,7.49
315088,University of Manchester,academic,United Kingdom,All co-authors,3,126,42,7.04
306003,Swiss Federal Institute of Technology Zurich,academic,Switzerland,All co-authors,3,464,154.7,7.4
201001,Australian National University,academic,Australia,All co-authors,3,58,19.3,2.19
725457,University College London Hospitals NHS Foundation Trust,medical,United Kingdom,All co-authors,2,446,223,10.96
709084,Manchester University NHS Foundation Trust,medical,United Kingdom,All co-authors,2,106,53,8.98
701767,West Suffolk NHS Foundation Trust,medical,United Kingdom,All co-authors,2,448,224,17.24
508370,Washington University St. Louis,academic,United States,All co-authors,2,125,62.5,4.73
508265,University of California at San Francisco,academic,United States,All co-authors,2,21,10.5,0.87
315121,Babraham Institute,academic,United Kingdom,All co-authors,2,20,10,0.99
315047,Queen Mary University of London,academic,United Kingdom,All co-authors,2,852,426,25.34
315018,Imperial College London,academic,United Kingdom,All co-authors,2,89,44.5,2.61
314027,Institut national de la santé et de la recherche médicale,government,France,All co-authors,2,136,68,5.04
306028,Novartis,corporate,Switzerland,All co-authors,2,50,25,3.63
306011,University of Basel,academic,Switzerland,All co-authors,2,460,230,10.5
201010,Garvan Institute of Medical Research,medical,Australia,All co-authors,2,19,9.5,0.7
725404,Massachusetts General Hospital,medical,United States,All co-authors,1,426,426,31.93
725018,National Clinical Research Center for Infectious Diseases,academic,China,All co-authors,1,9,9,1.77
724575,Hospital del Mar,medical,Spain,All co-authors,1,114,114,7.54
